id,ref_id,agency,project_name,project_overview,category,release_type,download_link,github_repo,notes,date_extracted
57f73311ab4c7425039aa318,NPO-45583-1,JPL,Autonomous Data Reduction for NASA Earth Science Data,"NASA atmospheric and Earth science missions generate vast amounts of data every day. Clustering algorithms are used in various applications including pattern recognition, classification, data compression, regression, and related optimization problems. The design implements a computational solution for an autonomous data-reduction/clustering process to produce a representative distribution and joint relationships of the data without assuming a specific type of distribution and relationship nor resorting to domain-specific knowledge about the data. ",data and image processing,U.S. Government Purpose Release,NA,NA,"https://download.jpl.nasa.gov/ops/request/index.cfm, request software",2024-07-16
6260ee611c01d114a968bc77,NPO-50897-1,JPL,OIIP Data Viewer,The Oceanographic In-Situ Interoperability Project aims to integrate diverse in-situ datasets with related remote sensing products from NASA. The data viewer is the web application through which users can explore and interrogate the range of data available within this project. The application will reveal the multi-dimensional facets of in-situ data at full data resolution. It provides an coherent search interface that accommodates the heterogeneity of in-situ products and sophisticated charting options that provide granular control over data displays.,data and image processing,Open Source,NA,https://github.com/oiip/oiip-data-viewer,NA,2024-07-16
6038973abea502310e769934,MFS-31700-1,MSFC,High-Speed Data Viewer,The High-Speed Data Viewer computer software was developed for viewing high-frequency data recorded in the East and West Test Areas at Marshall Space Flight Center (MSFC).Features include: Amplitude vs. Time Plots with full zoom capabilities; Frequency Component Plot at specified time interval; Waterfall Plots/Frequency Intensity Plots display changing frequency components over a duration of time; print options for plots; export functions save plot data as text files for importing into other applications. This software allows the user to plot data in time domain and view frequency components in multiple ways.,system testing,U.S. Release Only,NA,NA,NA,2024-07-16
582565a4ab4c74af2e478865,NPO-50157-1,JPL,NEXUS: Deep Data Platform,"NEXUS provides a bridge between science data and horizontal-scaling data analysis. It provides a workflow to divide science artifacts into small data tiles to store in a cloud-scaled database where they can be quickly retrieved through a high performance spatial search registry. Through spatial index, NEXUS provides fast access to all relevant data tiles where each tile fits into RAM for fast in-memory computation. ",data servers processing and handling,Open Source,NA,https://github.com/apache/incubator-sdap-nexus,"https://download.jpl.nasa.gov/ops/request/index.cfm, request software",2024-07-16
625f9cd59d4d6845a309c117,NPO-52219-1,JPL,EMIT Science Data System,"This software suite facilitates the mapping of Earth surface mineralogy from remote imaging spectroscopy data, along with aggregation and interpretation of the use of these data in Earth System Models.Facilitates the analyses of the EMIT objectives:1. The net contribution of mineral dust to regional and global radiative forcing is to warm the atmosphere (positive forcing)2. The impact of mineral dust on regional precipitation and radiative forcing will promote the expansion of dust source regions.",data and image processing,Open Source,NA,https://github.com/emit-sds,NA,2024-07-16
54405b0d2841f54dacba71a7,GSC-15009-1,GSFC,Hierarchical Data Format Earth Observing System (HDF-EOS)Data Extractor (HEEX),"The Hierarchical Data Format Earth Observing System (HDF-EOS) Data Extractor (HEEX) is a tool that enables users to extract HDF-EOS data to binary or ASCII data formats in HTML or XML index. The software can be used for both HDF-EOS2 and HDF-EOS5, and it automatically recognizes the two formats.",data servers processing and handling,Open Source,http://hdfeos.net/software/heex/,NA,NA,2024-07-16
6260ee431c01d114a968bc72,NPO-52071-1,JPL,Cloud-based Data Match-Up Service (CDMS) In Situ Data Services,The CDMS In Situ Data Services will be utilized by in situ data providers to provide a standardized interface to in situ data that will then be used for satellite-to-in situ data match up.,data and image processing,Open Source,NA,https://github.com/apache/incubator-sdap-in-situ-data-services,NA,2024-07-16
6268d753a2779808cc4ea1b2,NPO-50576-1,JPL,EVRTH : Virtual Reality Earth Data Visualization using streaming tiled GIBS data,"This project offers users a real-time globe textured with the latest imagery received from NASA spacecraft. Users areable to manipulate the globe and access scientific data.. Features include:Real and Up to Date Image AccessAccess the latest daily imagery from NASAs Global Imagery Browse Services (GIBS)Automatically fetch imagery at the correct level of detail based on globe scale and head distanceAccess imagery acquired at different times in the pastSpin the globe on two axesPosition and scale the globeScrub and animate through imagery over timeVisualize a 3D iso-surface of scientific data (e.g., gravity or water vapor)Visualize scientific data that varies by altitude",data and image processing,Open Source,NA,https://github.com/OpsLabJPL/EVRTH,NA,2024-07-16
544057bc2841f54dacba7034,ARC-16805-1,ARC,Kepler Community Data Analysis Tools,The Kepler archive contains time-series data calibrated and reduced from detector pixels. The pipelined reduction includes the removal of time-series trends systematic to a spacecraft and its environment.,environmental science earth air space exoplanet,Open Source,http://keplergo.arc.nasa.gov/PyKE.shtml,NA,NA,2024-07-16
5789d565ab4c743213662019,GSC-15874-1,GSFC,Goddard Satellite Data Simulation Unit,"The Goddard Satellite Data Simulation Unit (SDSU) is a comprehensive unified system of multi-sensor satellite instrumental simulators. Skill of weather forecasting models can be evaluated in terms of satellite-observed multi-sensor radiance levels. Alternatively, the remote sensing community can more readily utilize atmospheric model simulations to develop and test their retrieval algorithms for application of Earth science.",design and integration tools,Open Source,http://opensource.gsfc.nasa.gov/projects/G-SDSU/,NA,NA,2024-07-16
